venue_name,city,address,neighborhood,maps_link,events_url,status
The Mexican Village Restaurant,Los Angeles,"3668 Beverly Blvd, Los Angeles, CA 90004",Koreatown,https://maps.app.goo.gl/dZWQe5UxmNjSXW8QA,https://www.themexicanvillage.com/social-events-in-the-mexican-village/,ok
Viibz,North Hollywood,"10863 Magnolia Blvd, North Hollywood, CA 91601",North Hollywood,https://maps.app.goo.gl/Tck4uFP1Y7vRM3Rz7,none,ok
Sunset Rooftop,Los Angeles,"6099 Sunset Blvd, Los Angeles, CA 90028",Hollywood,https://maps.app.goo.gl/WsGtjEgUHXpDsxYj6,https://sunsetrooftop.net/events/,ok
Rhythm & Bleu,Los Angeles,"2064 Sawtelle Blvd, Los Angeles, CA 90025",Sawtelle,https://maps.app.goo.gl/PsuSZRzXyYU5ToC79,https://www.rhythmbleu.com/events,ok
Golden Gopher,Los Angeles,"417 W 8th St, Los Angeles, CA 90014",Downtown,https://maps.app.goo.gl/GqQqAipHVL5SjKPb9,none,ok
The Woods,Los Angeles,"1533 N La Brea Ave, Los Angeles, CA 90028",Hollywood,https://maps.app.goo.gl/tQtwQKc7FifZWEZ97,https://www.thewoodshollywood.com/,ok
Chatterbox,Covina,"943 N Citrus Ave, Covina, CA 91722",Covina,https://maps.app.goo.gl/vJ8akE1yCRLq4yqD6,https://www.eventbrite.com/e/chatterbox-comedy-night-a-weekly-stand-up-comedy-showcase-tickets-1999462897350?aff=ebdsoporgprofile,ok
Maui Sugar Mill Saloon,Tarzana,"18389 Ventura Blvd, Tarzana, CA 91356",Tarzana,https://maps.app.goo.gl/XupihkMyaAw9aAtL8,https://tockify.com/sugarmillsaloon/agenda,ok
Westside Comedy Theater,Santa Monica,"1323-A 3rd St, Santa Monica, CA 90401",Santa Monica,https://maps.app.goo.gl/zugLVRaa5a3myf21A,https://westsidecomedy.com/tickets-desktop/,ok
The Activist Kitchen Creative Space,Los Angeles,"669 Heliotrope Dr, Los Angeles, CA 90004",East Hollywood,https://maps.app.goo.gl/G3Br1f5PB3XHLuAm8,https://theactivistkitchen.com/pages/events,ok
HAHA Comedy Club,North Hollywood,"4712 Lankershim Blvd, North Hollywood, CA 91602",North Hollywood,https://maps.app.goo.gl/VMa1qYBPeKCwtMi3A,https://www.hahacomedyclub.com/,ok
Mar Vista Branch Library,Los Angeles,"12006 Venice Blvd., Los Angeles, CA 90066",Mar Vista,https://maps.app.goo.gl/yHVjAuxXiY5mJT8k9,https://www.lapl.org/events/stand-comedy-open-mic-0,ok
Chevalier's Books,Los Angeles,"133 N Larchmont Blvd, Los Angeles, CA 90004",Larchmont,https://maps.app.goo.gl/ZRzqnSevhgqgmsoY8,https://chevaliersbooks.com/upcoming-events,ok
Bad Ladder,Los Angeles,"1514 N Gardner St, Los Angeles, CA 90046",Hollywood,https://maps.app.goo.gl/ymojQ6KFBntUsgbr8,none,ok
The Barkley Restaurant & Bar,South Pasadena,"1400 Huntington Dr, South Pasadena, CA 91030",South Pasadena,https://maps.app.goo.gl/vKHE8yz9WZNBMt9h9,none,ok
The First Amendment,Claremont,"697 E Foothill Blvd, Claremont, CA 91711",Claremont,https://maps.app.goo.gl/AcHeXpdxkvmg7Hq66,none,ok
Close Up Kuts,Inglewood,"1130 Centinela Ave STE B, Inglewood, CA 90302",Inglewood,https://maps.app.goo.gl/i8or1XzAXNPpSNoS7,none,ok
The SiLA Clubhouse,Los Angeles,"1204 San Julian St, Los Angeles, CA 90015",Downtown,https://maps.app.goo.gl/u98NWMUQvkbscnoc7,none,ok
The Ice House,Pasadena,"24 N Mentor Ave, Pasadena, CA 91106",Pasadena,https://maps.app.goo.gl/JhzMLMw1WhMXpBTJA,https://icehousecomedy.com/,ok
The FanaticSalon Theater | Culver City Comedy Club,Los Angeles,"3815 Sawtelle Blvd, Los Angeles, CA 90066",Culver City,https://maps.app.goo.gl/trjPQg9BfzbeQBPdA,https://fanaticsalon.com/events/list/,ok
Cathedral Sanctuary (Immanuel Presbyterian Church),Los Angeles,"3300 Wilshire Blvd, Los Angeles, CA 90010",Koreatown,https://maps.app.goo.gl/69BNWmzwybySrnZi8,https://www.los-angeles-theatre.com/venues/cathedralsanctuaryalimmanuelpresbyterian,ok
Corbin Bowl,Tarzana,"19616 Ventura Blvd, Tarzana, CA 91356",Tarzana,https://maps.app.goo.gl/d6539sQepYDZ4Rfn7,https://www.corbinbowl.net/events/open-mic-party-9-2-26,ok
See Ya There Comedy,Los Angeles,10940 Ophir Dr Los Angeles CA 90024,Westwood,https://maps.app.goo.gl/xzdwSiFscHCtivCf7,none,ok
Café Tropical,Los Angeles,"2900 Sunset Blvd, Los Angeles, CA 90026",Silver Lake,https://maps.app.goo.gl/mncWVDbZ3vXAhH3y8,none,ok
The Good Bar,Long Beach,"3316 E 7th St, Long Beach, CA 90804","Belmont Heights, Long Beach",https://maps.app.goo.gl/SYCvtBauSitvVEf38,none,out_of_scope
The Clubhouse,Los Angeles,"1607 N Vermont Ave, Los Angeles, CA 90027",East Hollywood,https://maps.app.goo.gl/MCQ6f3CriCwJAqjM7,none,ok
Digital Debris,Los Angeles,"2646 N Figueroa St, Los Angeles, CA 90065",Cypress Park,https://maps.app.goo.gl/ki346WjZ8E2YrgsC7,https://www.digitaldebrisvideo.com/calendar,ok
Mofongos,North Hollywood,"5757 Lankershim Blvd, North Hollywood, CA 91601",North Hollywood,https://maps.app.goo.gl/BwSHB1MzXBuQCc2Q8,none,ok
The NoHo Diner,North Hollywood,"11329 Magnolia Blvd, North Hollywood, CA 91601",North Hollywood,https://maps.app.goo.gl/bzzoaAoMo87p3wt19,none,ok
The Broadwater Second Stage,Los Angeles,"6320 Santa Monica Blvd, Los Angeles, CA 90038",Hollywood,https://maps.app.goo.gl/jqF2UD8viKG1YViP8,https://www.thebroadwaterla.com/upcoming-events,ok
Melody Bar & Grill,Los Angeles,"9132 S Sepulveda Blvd, Los Angeles, CA 90045",Westchester,https://maps.app.goo.gl/BffNN2fAHdKg8Txf7,https://www.melodylax.com/los-angeles-events/,ok
